2022-04-16 20:41:17,195 DEBUG decos.py Была вызвана функция arg_parser c параметрами () , {}. Вызов из модуля __main__
2022-04-16 20:41:17,698 DEBUG decos.py Была вызвана функция arg_parser c параметрами () , {}. Вызов из модуля __main__
2022-04-16 22:02:44,677 DEBUG decos.py Была вызвана функция arg_parser c параметрами ('7777', '') , {}. Вызов из модуля __main__
2022-04-16 22:02:44,701 INFO server.py Запущен сервер, порт для подключений: 7777 , адрес с которого принимаются подключения: . Если адрес не указан, принимаются соединения с любых адресов.
2022-04-16 22:05:44,134 DEBUG decos.py Была вызвана функция arg_parser c параметрами () , {}. Вызов из модуля __main__
2022-04-16 22:05:58,701 DEBUG decos.py Была вызвана функция arg_parser c параметрами ('7777', '') , {}. Вызов из модуля __main__
2022-04-16 22:05:58,719 INFO server.py Запущен сервер, порт для подключений: 7777 , адрес с которого принимаются подключения: . Если адрес не указан, принимаются соединения с любых адресов.
2022-04-16 22:06:10,119 DEBUG decos.py Была вызвана функция arg_parser c параметрами () , {}. Вызов из модуля __main__
2022-04-16 22:06:15,847 DEBUG decos.py Была вызвана функция create_presence c параметрами ('cli3',) , {}. Вызов из модуля __main__
2022-04-16 22:06:15,848 DEBUG decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1650121575.848017, 'user': {'account_name': 'cli3'}}) , {}. Вызов из модуля common.utils
2022-04-16 22:06:15,848 INFO server.py Установлено соедение с ПК ('127.0.0.1', 37742)
2022-04-16 22:06:15,848 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:15,848 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=25, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 37742)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:15,848 DEBUG server.py Разбор сообщения от клиента : {'action': 'presence', 'time': 1650121575.848017, 'user': {'account_name': 'cli3'}}
2022-04-16 22:06:15,871 DEBUG decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=25, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 37742)>, {'response': 200}) , {}. Вызов из модуля common.utils
2022-04-16 22:06:15,872 DEBUG decos.py Была вызвана функция process_response_ans c параметрами ({'response': 200},) , {}. Вызов из модуля __main__
2022-04-16 22:06:15,904 DEBUG decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>, {'action': 'get_users', 'time': 1650121575.904551, 'account_name': 'cli3'}) , {}. Вызов из модуля common.utils
2022-04-16 22:06:15,904 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:16,372 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=25, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 37742)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:16,373 DEBUG server.py Разбор сообщения от клиента : {'action': 'get_users', 'time': 1650121575.904551, 'account_name': 'cli3'}
2022-04-16 22:06:16,375 DEBUG decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=25, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 37742)>, {'response': 202, 'data_list': ['test1', 'test2', 'cli3']}) , {}. Вызов из модуля common.utils
2022-04-16 22:06:16,388 DEBUG decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>, {'action': 'get_contacts', 'time': 1650121576.388325, 'user': 'cli3'}) , {}. Вызов из модуля common.utils
2022-04-16 22:06:16,388 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:16,876 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=25, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 37742)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:16,876 DEBUG server.py Разбор сообщения от клиента : {'action': 'get_contacts', 'time': 1650121576.388325, 'user': 'cli3'}
